Local time in Wurzburg,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
20.02.2018 05:00,-2.8,737.9,763.5,,85,Wind blowing from the north-east,3,,,no clouds, ,,,,,,,,,,9.0,-5.0,,,,,,
20.02.2018 04:00,-1.9,738.0,763.5,,86,Wind blowing from the north-northeast,1,,,100%., ,,,,,,,1000-1500,,,8.0,-4.0,,,,,,
20.02.2018 03:00,-1.3,738.1,763.5,,83,Wind blowing from the north,1,,,100%., ,,,,,,,1000-1500,,,8.0,-3.9,,,,,,
20.02.2018 02:00,-1.3,738.1,763.6,,81,Wind blowing from the north-northwest,1,,,100%., ,,,,,,,1000-1500,,,9.0,-4.1,,,,,,
20.02.2018 01:00,-1.3,738.4,763.8,,79,Wind blowing from the north-northwest,1,,,100%., ,,,,,,,1000-1500,,,9.0,-4.5,No precipitation,6,,,,
20.02.2018 00:00,-1.4,738.5,764.0,,79,Wind blowing from the west-northwest,1,,,100%., ,,,,,,,1000-1500,,,10.0,-4.6,,,,,,
19.02.2018 23:00,-1.4,738.7,764.2,,79,Wind blowing from the west-northwest,1,,,100%., ,,,,,,,1000-1500,,,10.0,-4.7,,,,,,
19.02.2018 22:00,-1.0,739.0,764.4,,75,Wind blowing from the north-west,2,,,"90  or more, but not 100%", ,,,,,,,1000-1500,,,12.0,-4.9,,,,,,
19.02.2018 21:00,-0.9,739.2,764.6,,77,Wind blowing from the west,1,,,"90  or more, but not 100%", ,,,,,,,600-1000,,,12.0,-4.5,,,,,,
19.02.2018 20:00,-0.4,739.3,764.8,,76,Wind blowing from the west,2,,,100%., ,,,,,,,600-1000,,,13.0,-4.1,,,,,,
19.02.2018 19:00,-0.1,739.3,764.7,,74,Wind blowing from the west,2,,,100%., ,,,-4.3,1.4,,,600-1000,,,15.0,-4.2,No precipitation,12,,,,
19.02.2018 18:00,0.0,739.4,764.8,,75,Wind blowing from the west,2,,,100%., ,,,,,,,600-1000,,,15.0,-4.0,,,,,,
19.02.2018 17:00,0.4,739.5,764.8,,74,Wind blowing from the west-southwest,2,,,50%., ,,,,,,,600-1000,,,15.0,-3.8,,,,,,
19.02.2018 16:00,0.8,739.7,765.0,,72,Wind blowing from the south-west,3,,,"90  or more, but not 100%", ,,,,,,,600-1000,,,17.0,-3.8,,,,,,
19.02.2018 15:00,1.1,739.9,765.2,,70,Wind blowing from the south,3,,,"90  or more, but not 100%", ,,,,,,,600-1000,,,18.0,-3.9,,,,,,
19.02.2018 14:00,0.9,740.3,765.7,,68,Wind blowing from the south-southwest,2,,,60%., ,,,,,,,600-1000,,,21.0,-4.4,,,,,,
19.02.2018 13:00,0.7,740.9,766.3,,70,Wind blowing from the south-southwest,3,,,20–30%., ,,,,,,,600-1000,,,23.0,-4.2,No precipitation,6,,,,
19.02.2018 12:00,0.2,741.4,766.9,,73,Wind blowing from the south,3,,,"90  or more, but not 100%", ,,,,,,,300-600,,,21.0,-4.2,,,,,,
19.02.2018 11:00,-0.3,741.8,767.3,,75,Wind blowing from the south,3,,,20–30%., ,,,,,,,"2500 or more, or no clouds.",,,20.0,-4.2,,,,,,
19.02.2018 10:00,-1.5,742.0,767.6,,81,Wind blowing from the south,1,,,no clouds, ,,,-4.4,,,,,,,9.0,-4.3,,,,,,
19.02.2018 09:00,-2.5,742.2,767.9,,88,Wind blowing from the south-southwest,1,,,50%.,Mist. ,Visibility reduced.,Visibility reduced.,,,,,"2500 or more, or no clouds.",,,3.5,-4.3,,,,,,
19.02.2018 08:00,-3.7,742.4,768.2,,95,Wind blowing from the south,1,,,no clouds,Mist. ,Visibility reduced.,Visibility reduced.,,,,,,,,4.4,-4.4,,,,,,
19.02.2018 07:00,-4.2,742.4,768.3,,94,"Calm, no wind",0,,,no clouds,Mist. ,Visibility reduced.,Visibility reduced.,-4.4,0.3,,,,,,4.5,-5.1,No precipitation,12,,,,
19.02.2018 06:00,-4.1,742.6,768.4,,94,Wind blowing from the east-northeast,1,,,no clouds,Mist. ,Visibility reduced.,Visibility reduced.,,,,,,,,3.7,-4.9,,,,,,
19.02.2018 05:00,-4.1,742.7,768.6,,94,Wind blowing from the north-northeast,1,,,no clouds,Mist. ,Visibility reduced.,Visibility reduced.,,,,,,,,4.1,-4.9,,,,,,
19.02.2018 04:00,-3.9,742.9,768.7,,95,Wind blowing from the north-west,1,,,no clouds,Mist. ,Visibility reduced.,Visibility reduced.,,,,,,,,4.3,-4.6,,,,,,
19.02.2018 03:00,-3.4,743.3,769.1,,94,Wind blowing from the west,1,,,no clouds,Mist. ,Visibility reduced.,Visibility reduced.,,,,,,,,3.4,-4.2,,,,,,
19.02.2018 02:00,-3.2,743.8,769.6,,94,Wind blowing from the north-west,1,,,no clouds,Mist. ,Visibility reduced.,Visibility reduced.,,,,,,,,4.9,-4.1,,,,,,
19.02.2018 01:00,-2.7,744.2,770.0,,94,Wind blowing from the north,1,,,no clouds,Mist. ,Visibility reduced.,,,,,,,,,4.4,-3.6,No precipitation,6,,,,
19.02.2018 00:00,-2.1,744.6,770.3,,93,Wind blowing from the north,2,,,100%.,Mist. ,Visibility reduced.,Visibility reduced.,,,,,1000-1500,,,5.0,-3.1,,,,,,
18.02.2018 23:00,-1.8,744.7,770.5,,90,"Calm, no wind",0,,,50%.,Mist. ,Visibility reduced.,Visibility reduced.,,,,,1000-1500,,,5.0,-3.2,,,,,,
18.02.2018 22:00,-1.4,744.9,770.5,,89,Wind blowing from the east-northeast,1,,,no clouds,Mist. ,Visibility reduced.,,,,,,,,,4.6,-3.0,,,,,,
18.02.2018 21:00,-1.0,745.0,770.7,,86,"Calm, no wind",0,,,no clouds, ,,,,,,,,,,8.0,-3.1,,,,,,
18.02.2018 20:00,-0.6,745.4,771.1,,85,Wind blowing from the south-west,1,,,40%., ,,,,,,,1000-1500,,,9.0,-2.9,,,,,,
18.02.2018 19:00,0.3,745.8,771.4,,82,Wind blowing from the south-west,2,,,"90  or more, but not 100%", ,,,-3.3,4.5,,,1000-1500,,,10.0,-2.5,No precipitation,12,,,,
18.02.2018 18:00,1.4,745.9,771.3,,77,Wind blowing from the south-southwest,3,,,"90  or more, but not 100%", ,,,,,,,1000-1500,,,12.0,-2.3,,,,,,
18.02.2018 17:00,2.3,745.8,771.1,,71,Wind blowing from the south,4,,,no clouds, ,,,,,,,,,,15.0,-2.5,,,,,,
18.02.2018 16:00,2.7,745.9,771.3,,67,Wind blowing from the east-southeast,4,,,70 – 80%., ,,,,,,,600-1000,,,16.0,-2.8,,,,,,
18.02.2018 15:00,3.7,746.0,771.3,,65,Wind blowing from the south-east,5,,,40%., ,,,,,,,600-1000,,,19.0,-2.3,,,,,,
18.02.2018 14:00,4.5,746.2,771.4,,65,Wind blowing from the south-east,3,,,"90  or more, but not 100%", ,,,,,,,600-1000,,,20.0,-1.5,,,,,,
18.02.2018 13:00,3.7,746.3,771.6,,65,Wind blowing from the east-southeast,4,,,no clouds, ,,,,,,,,,,18.0,-2.3,No precipitation,6,,,,
18.02.2018 12:00,3.1,746.6,772.0,,68,Wind blowing from the south-east,2,,,no clouds, ,,,,,,,,,,15.0,-2.3,,,,,,
18.02.2018 11:00,1.2,746.5,772.0,,76,Wind blowing from the west,2,,,20–30%., ,,,,,,,"2500 or more, or no clouds.",,,10.0,-2.7,,,,,,
18.02.2018 10:00,-0.6,746.5,772.2,,82,Wind blowing from the west,1,,,no clouds,Mist. ,Visibility reduced.,Visibility reduced.,-3.3,,,,,,,4.7,-3.4,,,,,,
18.02.2018 09:00,-1.3,746.5,772.3,,85,Wind blowing from the north-east,1,,,no clouds,Mist. ,Visibility reduced.,Visibility reduced.,,,,,,,,3.9,-3.6,,,,,,
18.02.2018 08:00,-3.2,746.4,772.3,,94,Wind blowing from the north,2,,,no clouds,Mist. ,Visibility reduced.,Visibility reduced.,,,,,,,,3.5,-4.1,,,,,,
18.02.2018 07:00,-3.2,746.1,772.0,,94,Wind blowing from the north-northeast,1,,,no clouds,Mist. ,Visibility reduced.,Visibility reduced.,-3.3,1.6,,,,,,4.2,-4.0,No precipitation,12,,,,
18.02.2018 06:00,-2.7,745.9,771.7,,93,Wind blowing from the north,2,,,no clouds,Mist. ,Visibility reduced.,Visibility reduced.,,,,,,,,4.2,-3.7,,,,,,
18.02.2018 05:00,-2.2,745.6,771.4,,92,Wind blowing from the north-northeast,2,,,no clouds,Mist. ,Visibility reduced.,Visibility reduced.,,,,,,,,4.3,-3.4,,,,,,
18.02.2018 04:00,-2.0,745.6,771.4,,92,Wind blowing from the north,1,,,"10%  or less, but not 0",Mist. ,Visibility reduced.,Visibility reduced.,,,,,"2500 or more, or no clouds.",,,4.7,-3.2,,,,,,
18.02.2018 03:00,-1.3,745.4,771.1,,85,Wind blowing from the north-east,2,,,no clouds,Mist. ,Visibility reduced.,Visibility reduced.,,,,,,,,5.0,-3.5,,,,,,
18.02.2018 02:00,-0.7,745.0,770.7,,83,Wind blowing from the north-east,2,,,"90  or more, but not 100%",Mist. ,Visibility reduced.,Visibility reduced.,,,,,"2500 or more, or no clouds.",,,6.0,-3.2,,,,,,
18.02.2018 01:00,-0.3,744.7,770.3,,82,Wind blowing from the north-east,3,,,40%.,Mist. ,Visibility reduced.,,,,,,"2500 or more, or no clouds.",,,6.0,-3.0,No precipitation,6,,,,
18.02.2018 00:00,0.1,744.4,769.9,,82,Wind blowing from the north-east,3,,,50%., ,,,,,,,"2500 or more, or no clouds.",,,8.0,-2.7,,,,,,
17.02.2018 23:00,0.7,744.1,769.5,,78,Wind blowing from the north-east,4,,,"90  or more, but not 100%", ,,,,,,,"2500 or more, or no clouds.",,,10.0,-2.7,,,,,,
17.02.2018 22:00,1.0,743.5,769.0,,77,Wind blowing from the north-east,3,,,100%., ,,,,,,,"2500 or more, or no clouds.",,,13.0,-2.7,,,,,,
17.02.2018 21:00,1.3,743.0,768.4,,77,Wind blowing from the north-northeast,2,,,"90  or more, but not 100%", ,,,,,,,"2500 or more, or no clouds.",,,15.0,-2.4,,,,,,
17.02.2018 20:00,1.4,742.6,767.9,,80,Wind blowing from the north-northeast,2,,,100%., ,,,,,,,"2500 or more, or no clouds.",,,12.0,-1.7,,,,,,
17.02.2018 19:00,1.6,742.2,767.5,,80,Wind blowing from the north,2,,,100%., ,,,-1.3,1.6,,,1000-1500,,,12.0,-1.6,No precipitation,12,,,,
17.02.2018 18:00,1.3,741.9,767.2,,82,Wind blowing from the north-east,1,,,"90  or more, but not 100%", ,,,,,,,600-1000,,,11.0,-1.4,,,,,,
17.02.2018 17:00,1.3,741.4,766.7,,80,Wind blowing from the north-east,2,,,40%., ,,,,,,,2000-2500,,,12.0,-1.8,,,,,,
17.02.2018 16:00,1.4,741.2,766.5,,81,Wind blowing from the east,3,,,70 – 80%., ,,,,,,,2000-2500,,,12.0,-1.5,,,,,,
17.02.2018 15:00,1.4,740.9,766.2,,82,Wind blowing from the east,3,,,"90  or more, but not 100%", ,,,,,,,300-600,,,11.0,-1.4,,,,,,
17.02.2018 14:00,1.2,740.8,766.1,,83,Wind blowing from the east,4,,,"90  or more, but not 100%", ,,,,,,,1500-2000,,,10.0,-1.4,,,,,,
17.02.2018 13:00,0.7,741.0,766.3,,85,Wind blowing from the east-northeast,3,,,no clouds, ,,,,,,,,,,9.0,-1.6,No precipitation,6,,,,
17.02.2018 12:00,0.0,741.3,766.7,,87,Wind blowing from the east-northeast,2,,,20–30%., ,,,,,,,2000-2500,,,8.0,-1.9,,,,,,
17.02.2018 11:00,-0.4,741.2,766.6,,94,Wind blowing from the east,4,,,"90  or more, but not 100%",Mist. ,Visibility reduced.,Visibility reduced.,,,,,"2500 or more, or no clouds.",,,7.0,-1.3,,,,,,
17.02.2018 10:00,-0.8,742.0,767.5,,96,Wind blowing from the east-northeast,2,,,20–30%.,Mist. ,Visibility reduced.,Visibility reduced.,-1.7,,,,100-200,,,5.0,-1.3,,,,,,
17.02.2018 09:00,-1.2,742.0,767.5,,96,Wind blowing from the east,3,,,"10%  or less, but not 0",Mist. ,Visibility reduced.,Visibility reduced.,,,,,100-200,,,4.7,-1.7,,,,,,
17.02.2018 08:00,-1.2,742.8,768.4,,97,Wind blowing from the east,4,,,100%.,Mist. ,Visibility reduced.,Visibility reduced.,,,,,100-200,,,3.8,-1.6,,,,,,
17.02.2018 07:00,-1.1,743.2,768.8,,98,Wind blowing from the east,4,,,100%.,Mist. ,Fog,Visibility reduced.,-1.7,1.8,,,100-200,,,3.3,-1.4,No precipitation,12,,,,
17.02.2018 06:00,-1.0,743.5,769.0,,99,Wind blowing from the east,4,,,"90  or more, but not 100%",Fog ,Fog,Visibility reduced.,,,,,100-200,,,2.9,-1.2,,,,,,
17.02.2018 05:00,-1.6,744.4,770.1,,99,Wind blowing from the east-southeast,4,,,100%.,"Fog, depositing rime. ",Fog,Fog,,,,,Less than  50,,,0.3,-1.7,,,,,,
17.02.2018 04:00,-1.7,744.5,770.2,,99,Wind blowing from the east-northeast,3,,,100%.,"Fog, depositing rime. ",Fog,Fog,,,,,Less than  50,,,0.2,-1.8,,,,,,
17.02.2018 03:00,-1.1,745.3,770.9,,100,Wind blowing from the east,2,,,100%.,"Fog, depositing rime. ",Fog,Fog,,,,,Less than  50,,,0.1,-1.1,,,,,,
17.02.2018 02:00,-1.2,745.8,771.5,,100,Wind blowing from the east-southeast,2,,,100%.,"Fog, depositing rime. ",Fog,Fog,,,,,Less than  50,,,less than 0.1,-1.2,,,,,,
17.02.2018 01:00,-1.2,746.1,771.8,,100,Wind blowing from the east,3,,,100%.,"Fog, depositing rime. ",Fog,Visibility reduced.,,,,,Less than  50,,,0.1,-1.2,No precipitation,6,,,,
17.02.2018 00:00,-0.8,746.2,771.9,,100,Wind blowing from the east-southeast,2,,,100%.,"Fog, depositing rime. ",Fog,Fog,,,,,Less than  50,,,less than 0.1,-0.8,,,,,,
16.02.2018 23:00,-0.5,746.4,772.0,,100,Wind blowing from the south-southeast,2,,,100%.,"Fog, depositing rime. ",Fog,Visibility reduced.,,,,,Less than  50,,,less than 0.1,-0.5,,,,,,
16.02.2018 22:00,-0.5,746.1,771.7,,99,Wind blowing from the south,1,,,no clouds,Mist. ,Visibility reduced.,Visibility reduced.,,,,,,,,1.1,-0.7,,,,,,
16.02.2018 21:00,-0.1,746.0,771.6,,96,Wind blowing from the south-southeast,2,,,no clouds,Mist. ,Visibility reduced.,Visibility reduced.,,,,,,,,3.0,-0.7,,,,,,
16.02.2018 20:00,0.8,746.4,771.9,,96,Wind blowing from the south,1,,,no clouds,Mist. ,Visibility reduced.,Visibility reduced.,,,,,,,,4.4,0.2,,,,,,
16.02.2018 19:00,1.6,746.4,771.8,,93,Wind blowing from the south-southeast,2,,,no clouds,Mist. ,Visibility reduced.,,1.4,6.3,,,,,,5.0,0.6,No precipitation,12,,,,
16.02.2018 18:00,2.9,746.1,771.4,,87,Wind blowing from the south-east,2,,,no clouds, ,,,,,,,,,,8.0,0.9,,,,,,
16.02.2018 17:00,4.2,745.8,771.0,,83,Wind blowing from the east-southeast,3,,,no clouds, ,,,,,,,,,,9.0,1.6,,,,,,
16.02.2018 16:00,5.9,745.8,770.8,,76,Wind blowing from the east,2,,,"10%  or less, but not 0", ,,,,,,,"2500 or more, or no clouds.",,,14.0,2.0,,,,,,
16.02.2018 15:00,6.1,745.8,770.8,,74,Wind blowing from the east-northeast,1,,,70 – 80%., ,,,,,,,300-600,,,16.0,1.7,,,,,,
16.02.2018 14:00,5.0,746.0,771.1,,78,Wind blowing from the north,2,,,"90  or more, but not 100%", ,,,,,,,300-600,,,14.0,1.5,,,,,,
16.02.2018 13:00,3.9,746.1,771.3,,86,Wind blowing from the west-northwest,2,,,100%., ,Fog,Visibility reduced.,,,,,200-300,,,10.0,1.8,No precipitation,6,,,,
16.02.2018 12:00,3.6,746.0,771.2,,89,Wind blowing from the west,3,,,100%., ,,,,,,,200-300,,,8.0,2.0,,,,,,
16.02.2018 11:00,2.7,745.7,771.0,,92,Wind blowing from the west-southwest,2,,,100%.,Mist. ,Visibility reduced.,,,,,,100-200,,,7.0,1.5,,,,,,
16.02.2018 10:00,2.3,745.3,770.6,,94,Wind blowing from the west-southwest,2,,,100%.,Mist. ,Fog,Visibility reduced.,0.9,,,,100-200,,,6.0,1.4,,,,,,
16.02.2018 09:00,1.7,744.6,769.9,,95,Wind blowing from the north-northwest,2,,,100%.,Fog ,Fog,Visibility reduced.,,,,,100-200,,,6.0,1.0,,,,,,
16.02.2018 08:00,1.6,743.9,769.3,,97,Wind blowing from the north,3,,,"90  or more, but not 100%",Fog ,Fog,Visibility reduced.,,,,,100-200,,,0.9,1.2,,,,,,
16.02.2018 07:00,1.4,743.2,768.5,,99,Wind blowing from the north,1,,,"90  or more, but not 100%",Fog ,Rain.,Drizzle.,0.7,1.4,,,100-200,,,0.8,1.2,1,12,,,,
16.02.2018 06:00,1.3,742.6,768.0,,97,Wind blowing from the north,1,,,100%.,Fog ,Fog,Visibility reduced.,,,,,100-200,,,0.9,0.9,,,,,,
16.02.2018 05:00,1.1,741.9,767.2,,99,Wind blowing from the north,2,,,100%.,Fog ,Fog,Fog,,,,,100-200,,,0.8,0.9,,,,,,
16.02.2018 04:00,1.0,741.4,766.8,,100,"Calm, no wind",0,,,"90  or more, but not 100%",Fog ,Rain.,Drizzle.,,,,,Less than  50,,,0.6,1.0,,,,,,
16.02.2018 03:00,1.0,741.0,766.3,,100,Wind blowing from the north,1,,,"90  or more, but not 100%","Rain, not freezing, slight. ",Rain.,Rain.,,,,,100-200,,,0.6,1.0,,,,,,
16.02.2018 02:00,1.0,740.8,766.1,,99,Wind blowing from the north-northeast,1,,,100%.,"Rain, not freezing, slight. ",Rain.,Drizzle.,,,,,Less than  50,,,0.2,0.9,,,,,,
16.02.2018 01:00,1.4,740.3,765.6,,100,Wind blowing from the north-east,1,,,40%.,"Rain, not freezing, slight. ",Rain.,Drizzle.,,,,,50-100,,,0.5,1.4,0.9,6,,,,
16.02.2018 00:00,1.1,740.0,765.3,,100,Wind blowing from the south-southeast,1,,,100%.,"Drizzle and rain, slight. ",Rain.,Drizzle.,,,,,Less than  50,,,less than 0.1,1.1,,,,,,
15.02.2018 23:00,1.1,739.9,765.2,,100,Wind blowing from the south,1,,,"90  or more, but not 100%","Rain, not freezing, slight. ",Rain.,Drizzle.,,,,,Less than  50,,,less than 0.1,1.1,,,,,,
15.02.2018 22:00,1.1,739.5,764.8,,100,Wind blowing from the south,1,,,100%.,Fog ,Rain.,Drizzle.,,,,,Less than  50,,,less than 0.1,1.1,,,,,,
15.02.2018 21:00,0.9,739.5,764.8,,100,Wind blowing from the south,2,,,100%.,"Drizzle, not freezing, moderate. ",Rain.,Drizzle.,,,,,Less than  50,,,less than 0.1,0.9,,,,,,
15.02.2018 20:00,0.7,739.4,764.7,,100,Wind blowing from the south,2,,,100%.,"Drizzle, not freezing, slight. ",Drizzle.,Fog,,,,,Less than  50,,,less than 0.1,0.7,,,,,,
15.02.2018 19:00,0.6,739.2,764.5,,100,Wind blowing from the south,2,,,100%.,"Drizzle, not freezing, heavy. ",Snow or ice pellets.,Rain.,-1.7,1.1,,,Less than  50,,,less than 0.1,0.6,0.7,12,,,,
15.02.2018 18:00,0.6,738.8,764.1,,99,Wind blowing from the south-southeast,1,,,100%.,"Drizzle, not freezing, moderate. ",Drizzle.,Fog,,,,,200-300,,,0.6,0.5,,,,,,
15.02.2018 17:00,0.4,738.5,763.8,,100,Wind blowing from the south-southeast,2,,,"90  or more, but not 100%",Fog ,Drizzle.,Fog,,,,,Less than  50,,,0.6,0.4,,,,,,
15.02.2018 16:00,0.4,738.5,763.8,,94,Wind blowing from the south,4,,,100%.,"Drizzle, not freezing, slight. ",Snow or ice pellets.,Rain.,,,,,200-300,,,3.0,-0.5,,,,,,
15.02.2018 15:00,0.1,738.3,763.6,,92,Wind blowing from the south,4,,,100%.,"Drizzle and rain, slight. ",Snow or ice pellets.,Rain.,,,,,300-600,,,5.0,-1.0,,,,,,
15.02.2018 14:00,0.5,738.2,763.5,,77,Wind blowing from the south,4,,,100%.,"Snow, slight. ",Snow or ice pellets.,Drizzle.,,,,,300-600,,,7.0,-3.1,,,,,,
15.02.2018 13:00,0.5,738.4,763.6,,72,Wind blowing from the south,6,,,"90  or more, but not 100%","Snow, slight. ",Snow or ice pellets.,Precipitation,,,,,600-1000,,,10.0,-4.1,Trace of precipitation,6,,,,
15.02.2018 12:00,1.1,738.6,763.9,,58,Wind blowing from the south-southeast,5,,,40%., ,,,,,,,300-600,,,28.0,-6.4,,,,,,
15.02.2018 11:00,0.5,739.0,764.4,,62,Wind blowing from the south,4,,,70 – 80%., ,,,,,,,1000-1500,,,22.0,-6.0,,,,,,
15.02.2018 10:00,-0.2,739.0,764.3,,68,Wind blowing from the south,4,,,60%., ,,,-3.5,,,,1500-2000,,,13.0,-5.4,,,,,,
15.02.2018 09:00,-0.7,739.1,764.5,,71,Wind blowing from the south-southeast,4,,,"90  or more, but not 100%", ,,,,,,,2000-2500,,,10.0,-5.4,,,,,,
15.02.2018 08:00,-1.0,739.3,764.8,,72,Wind blowing from the south-southeast,2,,,40%., ,,,,,,,"2500 or more, or no clouds.",,,8.0,-5.4,,,,,,
15.02.2018 07:00,-1.8,739.1,764.6,,78,Wind blowing from the south-southeast,2,,,100%.,"Haze or smoke, or dust in suspension in the air, visibility equal to, or greater than, 1 km. ",Visibility reduced.,,-3.5,0.1,,,"2500 or more, or no clouds.",,,7.0,-5.2,No precipitation,12,,,,
15.02.2018 06:00,-1.9,739.4,765.0,,78,Wind blowing from the south-southeast,2,,,"90  or more, but not 100%","Haze or smoke, or dust in suspension in the air, visibility equal to, or greater than, 1 km. ",Visibility reduced.,Visibility reduced.,,,,,"2500 or more, or no clouds.",,,7.0,-5.3,,,,,,
15.02.2018 05:00,-2.4,739.3,764.8,,80,Wind blowing from the south-southeast,3,,,100%.,"Haze or smoke, or dust in suspension in the air, visibility equal to, or greater than, 1 km. ",Visibility reduced.,,,,,,"2500 or more, or no clouds.",,,7.0,-5.4,,,,,,
15.02.2018 04:00,-2.2,739.7,765.3,,78,Wind blowing from the south-southeast,3,,,70 – 80%., ,,,,,,,"2500 or more, or no clouds.",,,8.0,-5.5,,,,,,
15.02.2018 03:00,-2.8,740.1,765.7,,80,Wind blowing from the south,2,,,"10%  or less, but not 0", ,,,,,,,"2500 or more, or no clouds.",,,10.0,-5.8,,,,,,
15.02.2018 02:00,-2.9,740.3,766.0,,79,Wind blowing from the south-southeast,2,,,"10%  or less, but not 0", ,,,,,,,"2500 or more, or no clouds.",,,12.0,-6.1,,,,,,
15.02.2018 01:00,-2.9,740.3,766.0,,79,Wind blowing from the west-southwest,1,,,no clouds, ,,,,,,,,,,15.0,-6.1,No precipitation,6,,,,
15.02.2018 00:00,-2.9,740.5,766.2,,78,Wind blowing from the south-east,2,,,no clouds, ,,,,,,,,,,13.0,-6.2,,,,,,
14.02.2018 23:00,-2.3,740.8,766.5,,77,Wind blowing from the south-southeast,2,,,no clouds, ,,,,,,,,,,14.0,-5.9,,,,,,
14.02.2018 22:00,-2.5,741.0,766.6,,80,Wind blowing from the south-southeast,2,,,no clouds, ,,,,,,,,,,12.0,-5.6,,,,,,
14.02.2018 21:00,-1.3,741.3,766.9,,69,Wind blowing from the south-east,2,,,no clouds, ,,,,,,,,,,18.0,-6.3,,,,,,
14.02.2018 20:00,-0.4,740.9,766.4,,65,Wind blowing from the south-east,2,,,no clouds, ,,,,,,,,,,19.0,-6.3,,,,,,
14.02.2018 19:00,-0.3,740.7,766.1,,65,Wind blowing from the south-southeast,2,,,no clouds, ,,,-6.6,3.8,,,,,,23.0,-6.1,No precipitation,12,,,,
14.02.2018 18:00,0.7,740.2,765.6,,62,Wind blowing from the east-southeast,4,,,no clouds, ,,,,,,,,,,30.0,-5.9,,,,,,
14.02.2018 17:00,2.7,740.2,765.3,,52,Wind blowing from the south,2,,,"10%  or less, but not 0", ,,,,,,,"2500 or more, or no clouds.",,,30.0,-6.2,,,,,,
14.02.2018 16:00,3.1,740.0,765.1,,52,Wind blowing from the south,3,,,no clouds, ,,,,,,,,,,35.0,-6.0,,,,,,
14.02.2018 15:00,3.5,739.9,765.0,,51,Wind blowing from the south-southwest,4,,,no clouds, ,,,,,,,,,,40.0,-5.7,,,,,,
14.02.2018 14:00,3.2,739.9,765.1,,54,Wind blowing from the south-east,4,,,no clouds, ,,,,,,,,,,35.0,-5.4,,,,,,
14.02.2018 13:00,2.2,740.2,765.4,,57,Wind blowing from the south-southeast,2,,,20–30%., ,,,,,,,"2500 or more, or no clouds.",,,24.0,-5.5,No precipitation,6,,,,
14.02.2018 12:00,1.0,740.3,765.6,,68,Wind blowing from the east-southeast,4,,,no clouds, ,,,,,,,,,,30.0,-4.4,,,,,,
14.02.2018 11:00,-0.1,740.2,765.6,,69,Wind blowing from the east-southeast,2,,,no clouds, ,,,,,,,,,,20.0,-5.2,,,,,,
14.02.2018 10:00,-2.5,739.7,765.4,,75,Wind blowing from the west-southwest,1,,,no clouds, ,,,-6.6,,,,,,,16.0,-6.4,,,,,,
14.02.2018 09:00,-4.1,739.5,765.3,,79,Wind blowing from the south-southeast,1,,,"10%  or less, but not 0", ,,,,,,,"2500 or more, or no clouds.",,,12.0,-7.3,,,,,,
14.02.2018 08:00,-6.2,739.0,764.9,,89,Wind blowing from the east,1,,,no clouds, ,,,,,,,,,,14.0,-7.7,,,,,,
14.02.2018 07:00,-6.4,738.4,764.3,,89,Wind blowing from the north,1,,,no clouds, ,,,-6.4,-0.1,,,,,,15.0,-7.9,No precipitation,12,,,,
14.02.2018 06:00,-6.1,737.9,763.9,,89,Wind blowing from the east-northeast,1,,,no clouds, ,,,,,,,,,,18.0,-7.7,,,,,,
14.02.2018 05:00,-5.2,737.5,763.3,,86,Wind blowing from the north-east,3,,,no clouds, ,,,,,,,,,,20.0,-7.2,,,,,,
14.02.2018 04:00,-5.4,737.2,763.0,,91,Wind blowing from the north-east,2,,,50%., ,,,,,,,"2500 or more, or no clouds.",,,13.0,-6.7,,,,,,
14.02.2018 03:00,-4.8,736.9,762.7,,89,Wind blowing from the north-northeast,2,,,no clouds, ,,,,,,,,,,15.0,-6.4,,,,,,
14.02.2018 02:00,-3.7,736.6,762.3,,79,Wind blowing from the east,2,,,no clouds, ,,,,,,,,,,26.0,-6.8,,,,,,
14.02.2018 01:00,-3.5,736.5,762.1,,79,Wind blowing from the east,2,,,no clouds, ,,,,,,,,,,25.0,-6.6,No precipitation,6,,,,
14.02.2018 00:00,-3.2,736.4,762.0,,79,Wind blowing from the east,3,,,no clouds, ,,,,,,,,,,26.0,-6.4,,,,,,
13.02.2018 23:00,-2.4,736.3,761.8,,75,Wind blowing from the south-east,2,,,no clouds, ,,,,,,,,,,27.0,-6.3,,,,,,
13.02.2018 22:00,-1.5,736.3,761.8,,70,Wind blowing from the south-east,3,,,no clouds, ,,,,,,,,,,29.0,-6.3,,,,,,
13.02.2018 21:00,-1.4,736.3,761.7,,72,Wind blowing from the south-east,2,,,no clouds, ,,,,,,,,,,30.0,-5.8,,,,,,
13.02.2018 20:00,-0.6,736.1,761.5,,68,Wind blowing from the south-east,3,,,no clouds, ,,,,,,,,,,35.0,-5.8,,,,,,
13.02.2018 19:00,-0.1,736.1,761.4,,66,Wind blowing from the south-east,3,,,no clouds, ,,,-1.9,4.6,,,,,,40.0,-5.7,No precipitation,12,,,,
13.02.2018 18:00,0.2,735.9,761.1,,63,Wind blowing from the south-east,2,,,no clouds, ,,,,,,,,,,50.0,-6.1,,,,,,
